name,index
left_pontine_reticular_nucleus_oral,1108
right_pontine_reticular_nucleus_oral,2108
left_CA1_hippocampus_ventral,1026
right_CA1_hippocampus_ventral,2026
left_lateral_hypothalamus,1073
right_lateral_hypothalamus,2073
left_olfactory_tubercles,1153
right_olfactory_tubercles,2153
left_dentate_gyrus_dorsal,1040
right_dentate_gyrus_dorsal,2040
left_9th_cerebellar_lobule,1013
right_9th_cerebellar_lobule,2013
left_dorsal_raphe,1047
right_dorsal_raphe,2047
left_prerubral_field,1111
right_prerubral_field,2111
left_motor_trigeminal_nucleus,1007
right_motor_trigeminal_nucleus,2007
left_cortical_amygdaloid_nucleus,1035
right_cortical_amygdaloid_nucleus,2035
left_substantia_nigra_compacta,1141
right_substantia_nigra_compacta,2141
left_medial_pretectal_area,1090
right_medial_pretectal_area,2090
left_lateral_geniculate,1072
right_lateral_geniculate,2072
left_paraventricular_nucleus,1118
right_paraventricular_nucleus,2118
left_reticulotegmental_nucleus,1129
right_reticulotegmental_nucleus,2129
left_ventral_orbital_ctx,1166
right_ventral_orbital_ctx,2166
left_pontine_nuclei,1106
right_pontine_nuclei,2106
left_paraflocculus_cerebellum,1099
right_paraflocculus_cerebellum,2099
left_auditory_ctx,1023
right_auditory_ctx,2023
left_red_nucleus,1124
right_red_nucleus,2124
left_posterior_thalamic_nucleus,1109
right_posterior_thalamic_nucleus,2109
left__vestibular_nucleus,1160
right__vestibular_nucleus,2160
left_medial_amygdaloid_nucleus,1083
right_medial_amygdaloid_nucleus,2083
left_raphe_obscurus_nucleus,1123
right_raphe_obscurus_nucleus,2123
left_8th_cerebellar_lobule,1012
right_8th_cerebellar_lobule,2012
left_CA3_dorsal,1028
right_CA3_dorsal,2028
left_retrosplenial_caudal_ctx,1125
right_retrosplenial_caudal_ctx,2125
left_Ventricle,1155
right_Ventricle,2155
left_periaqueductal_gray_thalamus,1095
right_periaqueductal_gray_thalamus,2095
